PC1,PC2,PC3,BrainRegion,MouseID,Treatment,Sex,SlideNumber,ID,UniqueID,Foreground.pixels,Density.of.foreground.pixels.in.hull.area,Span.ratio.of.hull..major.minor.axis.,Maximum.span.across.hull,Area,Perimeter,Circularity,Width.of.bounding.rectangle,Height.of.bounding.rectangle,Maximum.radius.from.hull.s.center.of.mass,Max.min.radii.from.hull.s.center.of.mass,Relative.variation..CV..in.radii.from.hull.s.center.of.mass,Mean.radius,Diameter.of.bounding.circle,Maximum.radius.from.circle.s.center.of.mass,Max.min.radii.from.circle.s.center.of.mass,Relative.variation..CV..in.radii.from.circle.s.center.of.mass,Mean.radius.from.circle.s.center.of.mass,X..of.branches,X..of.junctions,X..of.end.point.voxels,X..of.junction.voxels,X..of.slab.voxels,Average.branch.length,X..of.triple.points,X..of.quadruple.points,Maximum.branch.length,Cluster
1.499838006,-0.03536351,2.518599032,PVN,AL51,CON,M,s07,0001-1237,PVN_AL51_CON_M_s07_0001-1237,28944,0.2304,1.5807,526.3858,125602,1436.0745,0.7653,504,443,280.8799,1.8119,0.108,256.1067,529.0482,264.5241,1.55,0.0765,257.0108,16,8,8,22,1206,0.302,8,0,0.805,Rod-Like
0.86080322,0.402833064,0.820812907,PVN,AL51,CON,M,s07,0002-1573,PVN_AL51_CON_M_s07_0002-1573,23021,0.4213,2.5725,429.0839,54640,1045.4158,0.6283,423,219,233.0873,2.2489,0.2359,192.8297,429.7354,214.8677,1.2722,0.082,202.6313,15,7,9,13,676,0.187,7,0,0.395,Ramified
-0.583409262,0.032029983,1.239178398,PVN,AL51,CON,M,s07,0003-3582,PVN_AL51_CON_M_s07_0003-3582,13514,0.5544,1.7425,233.4995,24376,630.0941,0.7715,181,230,144.9581,1.64,0.1698,109.1253,239.1503,119.5752,1.1916,0.0552,114.0697,7,3,5,7,312,0.184,3,0,0.437,Ameboid
-0.407730579,-0.511495538,0.120621954,PVN,AL55,CON,M,s07,0001-0257,PVN_AL55_CON_M_s07_0001-0257,20678,0.8157,1.5276,233.4524,25349,609.5863,0.8572,231,175,125.8861,1.6126,0.1502,101.7342,233.4524,116.7262,1.6305,0.1572,100.9551,14,7,7,11,557,0.162,7,0,0.441,Ameboid
-2.551825853,-0.405279764,0.608752264,PVN,AL55,CON,M,s07,0002-3528,PVN_AL55_CON_M_s07_0002-3528,7232,0.9683,1.2437,111.463,7469,314.017,0.9518,111,92,57.3061,1.3172,0.0791,50.3653,111.5294,55.7647,1.3088,0.0841,50.4772,3,1,3,3,110,0.155,1,0,0.246,Ameboid
-0.322299577,2.029316703,1.544136935,PVN,AL59,CON,F,s07,0001-0555,PVN_AL59_CON_F_s07_0001-0555,12001,0.3914,1.4963,274.4485,30661,706.8397,0.7712,234,219,175.6265,3.1301,0.3564,112.7943,274.4583,137.2292,2.1162,0.1769,122.8802,4,2,2,4,391,0.401,2,0,0.833,Rod-Like
-0.067962844,0.322580282,1.632347807,PVN,AL59,CON,F,s07,0003-1266,PVN_AL59_CON_F_s07_0003-1266,15106,0.4477,1.3462,285.9108,33744,767.6825,0.7195,215,251,176.6678,1.7967,0.1805,135.421,293.4131,146.7066,1.3564,0.0887,138.6881,9,4,6,4,491,0.223,4,0,0.716,Rod-Like
2.083807131,-0.790136893,1.392068355,PVN,AL59,CON,F,s07,0004-4109,PVN_AL59_CON_F_s07_0004-4109,55303,0.313,1.454,596.6381,176671,1636.725,0.8288,458,569,353.4798,1.7688,0.1595,270.7879,610.8312,305.4156,1.6114,0.1363,281.8236,36,18,18,34,1783,0.199,18,0,0.664,Ramified
-1.284880906,0.010978464,0.04613403,PVN,AL61,CON,M,s07,0001-0609,PVN_AL61_CON_M_s07_0001-0609,12566,0.8037,1.3536,177.0537,15636,475.6367,0.8685,138,159,96.14,1.6615,0.16,75.9908,177.5679,88.784,1.8783,0.1854,77.4588,7,3,5,3,257,0.15,3,0,0.351,Ameboid
-0.402989841,-1.375062182,-0.039964147,PVN,AL61,CON,M,s07,0002-0642,PVN_AL61_CON_M_s07_0002-0642,21701,0.7986,1.4339,222.5758,27173,612.4458,0.9104,155,224,114.5406,1.4468,0.0941,100.304,222.8885,111.4442,1.4728,0.1009,100.524,19,9,10,14,533,0.12,8,1,0.282,Ameboid
0.291649293,0.877276491,-1.77878075,PVN,AL61,CON,M,s07,0003-1516,PVN_AL61_CON_M_s07_0003-1516,17417,0.7211,2.7792,303.8421,24155,689.7989,0.6379,156,287,160.6042,3.2925,0.2865,122.5502,303.8421,151.921,2.6907,0.2581,122.2658,21,12,6,26,541,0.11,12,0,0.646,Ramified
0.295418638,0.31457004,-1.375313156,PVN,AL61,CON,M,s07,0004-3080,PVN_AL61_CON_M_s07_0004-3080,16508,0.5355,2.3491,303.2689,30826,728.6418,0.7296,140,298,165.6514,2.1647,0.2131,125.4331,303.2689,151.6344,3.8088,0.2337,130.1489,20,10,10,22,640,0.135,10,0,0.405,Ramified
0.882993237,1.814730996,-0.143536602,PVN,AL62,CON,F,s07,0001-0445,PVN_AL62_CON_F_s07_0001-0445,22140,0.5177,3.4985,438.4393,42765,979.2957,0.5604,224,407,254.6813,3.8454,0.2475,192.8489,438.4393,219.2196,3.047,0.157,199.7006,11,5,7,9,525,0.191,5,0,0.775,Rod-Like
-0.439465509,-0.050750397,0.30371937,PVN,AL62,CON,F,s07,0002-0540,PVN_AL62_CON_F_s07_0002-0540,13725,0.614,1.5776,229.1244,22355,596.2745,0.7901,198,182,137.7283,2.1638,0.2698,101.8646,229.6954,114.8477,1.3099,0.075,107.8567,12,6,6,10,456,0.152,6,0,0.468,Ameboid
0.414698304,1.095479078,-0.536773354,PVN,AL62,CON,F,s07,0003-1064,PVN_AL62_CON_F_s07_0003-1064,12350,0.3961,2.5481,316.223,31176,762.0875,0.6746,233,281,185.942,3.0577,0.2901,138.7471,316.5815,158.2908,2.3021,0.2203,137.2296,15,8,6,18,485,0.135,8,0,0.913,Ramified
-0.381533851,0.568783391,-1.834332964,PVN,AL62,CON,F,s07,0004-1084,PVN_AL62_CON_F_s07_0004-1084,12193,0.703,2.0813,232.4995,17344,554.9069,0.7078,157,205,135.4011,2.4621,0.3055,91.8081,232.4995,116.2497,3.2894,0.248,97.9987,14,6,9,14,369,0.115,5,1,0.278,Ameboid
0.085458736,0.859518868,-1.97020808,PVN,AL62,CON,F,s07,0005-1341,PVN_AL62_CON_F_s07_0005-1341,16289,0.6261,2.3128,291.2954,26018,683.3637,0.7001,147,287,151.9137,2.7387,0.2992,110.9335,291.3074,145.6537,3.7743,0.3201,111.7832,16,8,8,18,530,0.14,8,0,0.249,Ramified
-1.721302973,-0.864778264,-0.560765783,PVN,AL62,CON,F,s07,0006-1344,PVN_AL62_CON_F_s07_0006-1344,8122,0.8426,1.2444,133.1353,9639,375.9848,0.8568,130,107,71.6974,1.5256,0.1226,62.5514,137.8805,68.9403,1.4603,0.1116,62.8911,10,5,5,9,208,0.09,5,0,0.177,Ameboid
-1.194948716,-0.397027831,-0.939663034,PVN,AL62,CON,F,s07,0007-1629,PVN_AL62_CON_F_s07_0007-1629,10025,0.7958,1.4417,163.6704,12597,434.2837,0.8393,132,150,96.0442,1.8921,0.1968,70.9684,164.4253,82.2126,2.1524,0.1376,75.6091,11,5,7,15,282,0.112,5,0,0.22,Ameboid
-0.256333145,-0.321496762,0.134072505,PVN,AL62,CON,F,s07,0008-1888,PVN_AL62_CON_F_s07_0008-1888,22269,0.7206,1.6185,259.4167,30905,668.7707,0.8683,201,229,137.0139,1.6846,0.1734,110.1833,259.5762,129.7881,1.7196,0.1766,110.3302,13,6,8,8,483,0.151,6,0,0.375,Ameboid
-0.924536788,-0.340085714,0.49943229,PVN,AL62,CON,F,s07,0009-2305,PVN_AL62_CON_F_s07_0009-2305,20978,0.872,1.4573,214.8697,24058,580.5803,0.8969,214,150,114.2774,1.6006,0.1078,97.0294,215.3472,107.6736,1.8654,0.118,98.5674,7,3,5,5,238,0.135,3,0,0.232,Ameboid
0.828353137,-0.524839405,-0.868659437,PVN,AL62,CON,F,s07,0010-3048,PVN_AL62_CON_F_s07_0010-3048,23770,0.5756,2.4349,376.012,41299,881.4109,0.668,153,378,193.8174,2.2069,0.1967,164.1321,376.012,188.006,1.5487,0.1379,165.9024,34,18,14,36,787,0.097,18,0,0.351,Ramified
0.206478417,-0.626517494,-0.117357349,PVN,AL62,CON,F,s07,0011-3020,PVN_AL62_CON_F_s07_0011-3020,18222,0.5024,1.4872,289.3804,36273,728.8143,0.8581,195,249,162.1682,1.9283,0.2098,117.8583,289.3804,144.6902,1.6335,0.1458,123.2835,22,11,11,21,633,0.121,11,0,0.493,Ramified
-0.087757642,1.109561565,-1.299159183,PVN,AL62,CON,F,s07,0012-3085,PVN_AL62_CON_F_s07_0012-3085,18743,0.7727,2.8889,298.7189,24255,683.3258,0.6528,292,134,154.6656,2.9979,0.2992,114.9121,298.7189,149.3595,2.3096,0.2538,117.7576,11,5,7,11,377,0.14,5,0,0.263,Ramified
-0.210924131,1.500877303,2.149420927,PVN,AL62,CON,F,s07,0013-3205,PVN_AL62_CON_F_s07_0013-3205,11772,0.3618,1.5346,287.8976,32538,717.2023,0.7949,227,209,171.8035,2.2398,0.3013,114.0168,287.8976,143.9488,1.6612,0.1338,125.0645,5,2,4,4,504,0.389,2,0,1.202,Rod-Like
0.045675308,-0.731273556,1.195022006,PVN,AL62,CON,F,s07,0014-3983,PVN_AL62_CON_F_s07_0014-3983,14730,0.367,1.4521,271.5971,40131,764.3722,0.8631,197,273,164.3112,1.687,0.1757,131.6597,273.5163,136.7581,1.122,0.0322,131.8987,15,7,9,13,617,0.166,7,0,0.418,Ramified
-0.949425,-1.316561495,-0.677966169,PVN,AL62,CON,F,s07,0015-4253,PVN_AL62_CON_F_s07_0015-4253,13178,0.7964,1.3697,176.3009,16546,488.3418,0.8719,128,164,91.4435,1.4931,0.1139,78.9075,176.3552,88.1776,1.471,0.1081,79.8341,18,9,9,19,319,0.076,9,0,0.232,Ameboid
-2.344612916,0.578219487,-0.661335005,PVN,AL64,CON,F,s07,0001-0618,PVN_AL64_CON_F_s07_0001-0618,6352,0.9042,1.4414,123.7942,7025,319.2835,0.866,99,106,66.5675,1.7042,0.1896,50.2582,123.7942,61.8971,2.2361,0.2428,51.7799,3,1,3,3,112,0.155,1,0,0.181,Ameboid
-0.365626776,-0.228055742,1.265828228,PVN,AL64,CON,F,s07,0002-1404,PVN_AL64_CON_F_s07_0002-1404,12335,0.4915,1.239,249.0883,25095,685.8173,0.6705,193,244,139.611,1.4411,0.0896,123.1836,263.1516,131.5758,1.4284,0.0731,126.6859,9,4,6,8,415,0.183,4,0,0.449,Ameboid
0.777664532,-0.871857198,0.532622774,PVN,AL64,CON,F,s07,0003-2381,PVN_AL64_CON_F_s07_0003-2381,20664,0.3878,1.4357,355.456,53292,912.2504,0.8047,355,265,207.0542,1.7374,0.1798,154.9636,355.456,177.728,1.4046,0.0998,161.1521,27,13,15,25,843,0.124,13,0,0.529,Ramified
0.82677176,1.117684481,-1.006926086,PVN,AL64,CON,F,s07,0004-2527,PVN_AL64_CON_F_s07_0004-2527,16855,0.3829,2.3419,374.7066,44015,891.5338,0.6959,374,167,219.415,2.6884,0.2668,161.3753,374.7066,187.3533,5.133,0.2566,162.1573,20,10,10,14,677,0.139,10,0,0.863,Ramified
-0.993402357,-0.407352756,-0.121376261,PVN,AL64,CON,F,s07,0005-4053,PVN_AL64_CON_F_s07_0005-4053,8569,0.5812,1.4064,179.3683,14743,479.8383,0.8046,162,158,103.0579,1.7948,0.1829,83.1657,182.9956,91.4978,1.4782,0.1124,82.6459,10,4,7,13,299,0.123,3,1,0.308,Ameboid
1.514248618,-0.571581826,1.446174062,PVN,AL65,CON,F,s07,0001-0930,PVN_AL65_CON_F_s07_0001-0930,34324,0.3433,1.475,501.2704,99969,1266.6161,0.783,426,336,277.5109,1.5683,0.1478,220.261,501.2704,250.6352,1.6347,0.1146,227.5447,29,16,10,30,1573,0.21,16,0,0.859,Ramified
0.80965945,0.766418624,2.354265285,PVN,AL65,CON,F,s07,0002-1802,PVN_AL65_CON_F_s07_0002-1802,18377,0.2786,1.7344,407.4138,65966,1059.8126,0.738,325,370,241.3043,1.9542,0.1977,185.1833,411.6697,205.8348,1.4544,0.1038,191.2766,10,5,5,11,717,0.296,5,0,1.265,Rod-Like
1.223279551,0.822175118,-0.613400952,PVN,AL65,CON,F,s07,0003-2423,PVN_AL65_CON_F_s07_0003-2423,17432,0.3419,2.408,465.244,50981,1034.5103,0.5986,377,278,236.321,2.6415,0.2429,203.8399,465.244,232.622,2.7736,0.2495,203.2857,26,15,7,21,876,0.138,15,0,0.666,Ramified
0.60379371,-0.245372965,0.765699654,PVN,AL65,CON,F,s07,0004-2482,PVN_AL65_CON_F_s07_0004-2482,20225,0.3701,1.106,319.4276,54654,923.6713,0.805,299,284,195.9848,2.1437,0.259,144.3153,341.0466,170.5233,1.5673,0.1237,155.2244,20,11,7,17,937,0.186,11,0,0.546,Ramified
0.363785129,-0.036874629,1.214173107,PVN,AL67,CON,M,s07,0001-0764,PVN_AL67_CON_M_s07_0001-0764,20512,0.4594,1.5228,351.2791,44645,889.1131,0.7097,226,353,191.8867,1.5688,0.1585,163.1122,351.572,175.786,1.4813,0.1139,164.3908,12,6,6,10,598,0.195,6,0,0.459,Ramified
-0.620030988,-0.525949216,0.178014861,PVN,AL67,CON,M,s07,0002-1528,PVN_AL67_CON_M_s07_0002-1528,18759,0.7274,1.3893,225.8938,25790,605.1653,0.8849,155,216,118.1184,1.7059,0.1407,96.875,225.8938,112.9469,1.6342,0.1448,97.3866,11,5,7,9,377,0.144,5,0,0.285,Ameboid
2.120174869,0.137582306,-0.357023408,PVN,AL67,CON,M,s07,0003-1849,PVN_AL67_CON_M_s07_0003-1849,26737,0.277,3.0408,608.7635,96516,1395.1996,0.6231,354,542,328.9879,2.8191,0.2273,254.4766,608.7635,304.3818,1.8611,0.1793,263.3713,45,25,14,56,1169,0.11,24,1,0.907,Ramified
0.306522121,-1.109681526,0.787280829,PVN,AL73,COLD,M,s07,0001-0201,PVN_AL73_COLD_M_s07_0001-0201,18562,0.4116,1.3159,294.3909,45100,819.623,0.8436,245,263,161.3198,1.5703,0.1517,137.6434,296.558,148.279,1.2107,0.0641,140.9991,20,9,12,19,607,0.124,8,1,0.432,Ramified
0.649589004,-0.43935962,0.86871734,PVN,AL73,COLD,M,s07,0002-2797,PVN_AL73_COLD_M_s07_0002-2797,27420,0.4778,1.4831,364.7259,57388,978.9666,0.7525,241,366,211.9212,1.6664,0.1424,168.1413,376.9659,188.483,1.5504,0.1283,173.5386,17,8,10,14,774,0.181,8,0,0.35,Ramified
-2.364083584,2.3577295,0.78459869,PVN,AL73,COLD,M,s07,0003-3628,PVN_AL73_COLD_M_s07_0003-3628,5867,0.828,1.9989,135.9301,7086,334.9868,0.7935,128,97,77.6784,2.327,0.2792,51.5138,135.9301,67.9651,2.3336,0.2253,54.0722,1,0,2,0,113,0.455,0,0,0.455,Rod-Like
1.616531225,1.024327503,-1.777794192,PVN,AL73,COLD,M,s07,0004-4207,PVN_AL73_COLD_M_s07_0004-4207,13636,0.3223,4.529,484.7535,42307,1055.9048,0.4768,408,296,257.7958,4.2133,0.2138,206.8743,484.7535,242.3768,2.9694,0.1942,210.96,41,23,12,44,777,0.082,22,1,0.823,Ramified
2.037383591,-1.24509989,0.005382806,PVN,AL74,COLD,F,s07,0001-1372,PVN_AL74_COLD_F_s07_0001-1372,45572,0.3953,1.5535,494.6959,115272,1303.8234,0.8521,310,492,274.0241,2.0028,0.172,218.6804,497.8382,248.9191,2.2316,0.1506,221.2876,65,35,22,76,2259,0.144,32,3,1.087,Ramified
0.775506614,-0.567213347,-0.345539879,PVN,AL74,COLD,F,s07,0002-3315,PVN_AL74_COLD_F_s07_0002-3315,22136,0.459,2.0218,359.3564,48229,889.9358,0.7652,317,276,185.257,1.9955,0.1709,159.2068,359.3564,179.6782,1.8355,0.1604,159.125,28,14,14,28,807,0.118,14,0,0.356,Ramified
1.400223273,-0.750177416,1.611805919,PVN,AL74,COLD,F,s07,0003-4103,PVN_AL74_COLD_F_s07_0003-4103,34452,0.3269,1.3392,483.149,105394,1270.8592,0.82,483,368,263.5235,1.4652,0.1101,216.5332,483.2673,241.6336,1.6202,0.1257,222.038,24,11,14,15,1103,0.178,10,1,0.759,Ramified
0.820351752,-1.590794219,-0.334684637,PVN,AL75,COLD,M,s07,0001-1561,PVN_AL75_COLD_M_s07_0001-1561,34693,0.6606,1.1297,313.7037,52521,895.218,0.8235,313,278,178.9411,1.7636,0.1752,149.7409,329.6955,164.8477,1.4756,0.121,150.1708,42,22,17,41,1104,0.111,21,1,0.327,Ramified
0.428516018,-1.987056921,-0.110249054,PVN,AL75,COLD,M,s07,0002-2957,PVN_AL75_COLD_M_s07_0002-2957,29381,0.6886,1.1365,265.7536,42666,788.6068,0.8621,261,253,151.9088,1.4427,0.1128,132.6132,286.8267,143.4133,1.3018,0.078,134.3012,36,18,17,43,918,0.111,17,1,0.226,Ramified
-0.293027807,-1.207686889,0.928088802,PVN,AL75,COLD,M,s07,0003-3069,PVN_AL75_COLD_M_s07_0003-3069,23670,0.7195,1.1365,234.9404,32900,694.6851,0.8567,232,236,130.3828,1.4427,0.0699,116.8515,245.2564,122.6282,1.2688,0.0565,117.9752,14,7,7,15,495,0.144,7,0,0.298,Ameboid
0.491348797,-0.45924665,-0.104440276,PVN,AL75,COLD,M,s07,0004-4319,PVN_AL75_COLD_M_s07_0004-4319,22539,0.4948,1.8655,335.4102,45556,840.502,0.8104,199,333,171.7398,1.7653,0.1902,146.0832,335.4102,167.7051,1.6416,0.1885,144.7919,21,10,12,20,688,0.133,10,0,0.388,Ramified
1.994357032,1.589418462,-0.106116874,PVN,AL77,COLD,M,s07,0001-0945,PVN_AL77_COLD_M_s07_0001-0945,28513,0.342,3.7087,667.1079,83381,1464.9268,0.4883,167,669,378.7597,3.1606,0.3183,273.1737,667.1079,333.554,2.2321,0.216,287.7467,24,12,12,20,1202,0.195,12,0,1.121,Ramified
1.320662574,-0.570054118,0.377508937,PVN,AL77,COLD,M,s07,0002-1483,PVN_AL77_COLD_M_s07_0002-1483,26799,0.3597,1.8799,442.7302,74497,1099.3713,0.7746,254,421,226.1074,1.7882,0.1862,188.718,442.7302,221.3651,1.6011,0.1545,188.0531,36,20,12,36,1182,0.134,20,0,0.893,Ramified
-0.297658532,-0.981800419,0.101851056,PVN,AL77,COLD,M,s07,0003-2441,PVN_AL77_COLD_M_s07_0003-2441,14886,0.5915,1.5692,241.2074,25165,625.1021,0.8093,241,175,131.7337,1.464,0.1335,107.3712,241.2074,120.6037,1.3265,0.0897,110.0784,19,10,8,12,526,0.111,10,0,0.238,Ameboid
1.597541804,-1.860830178,0.11474232,PVN,AL77,COLD,M,s07,0004-2849,PVN_AL77_COLD_M_s07_0004-2849,37385,0.4384,1.1528,400.8242,85271,1122.7649,0.85,324,361,253.4393,1.8994,0.1732,188.9425,409.7736,204.8868,1.3083,0.0868,191.5479,65,34,25,69,1641,0.107,31,3,0.747,Ramified
0.325659845,0.303057202,-0.15090465,PVN,AL77,COLD,M,s07,0005-2975,PVN_AL77_COLD_M_s07_0005-2975,18212,0.5546,2.3157,313.7897,32841,772.7933,0.691,313,153,175.2806,3.0661,0.2509,140.6111,314.019,157.0095,1.4679,0.0933,146.0586,17,9,7,23,511,0.126,9,0,0.596,Ramified
1.54750331,0.023157673,1.374373363,PVN,AL78,COLD,F,s07,0001-2891,PVN_AL78_COLD_F_s07_0001-2891,29821,0.2886,1.5456,504.2192,103336,1279.1045,0.7937,392,431,315.0516,2.0976,0.2719,214.8074,504.2192,252.1096,1.7461,0.1161,229.0461,22,11,9,23,1325,0.242,9,2,0.829,Ramified
0.643057043,-0.830271713,0.461147876,PVN,AL83,COLD,M,s07,0001-0717,PVN_AL83_COLD_M_s07_0001-0717,20753,0.4621,1.6005,334.6117,44913,851.9583,0.7776,323,246,190.7196,1.7287,0.1547,147.0199,334.6117,167.3059,1.4278,0.0932,152.5345,25,13,10,29,733,0.124,12,1,0.663,Ramified
-0.430442473,0.270668526,-0.330655653,PVN,AL83,COLD,M,s07,0002-1525,PVN_AL83_COLD_M_s07_0002-1525,17919,0.7842,2.1209,252.8735,22851,621.0317,0.7445,252,139,149.663,2.2094,0.2116,108.5176,252.8735,126.4367,1.8427,0.1461,111.9292,11,5,7,5,332,0.12,5,0,0.29,Ameboid
1.224781029,-0.796260516,0.118026255,PVN,AL83,COLD,M,s07,0003-1775,PVN_AL83_COLD_M_s07_0003-1775,24225,0.4056,1.7764,426.9192,59733,1042.0466,0.6913,257,408,223.4109,1.8319,0.2157,183.3534,426.9192,213.4596,1.3583,0.095,195.0328,36,20,11,47,988,0.117,19,1,0.56,Ramified
1.372507561,1.101518301,-0.035551634,PVN,AL83,COLD,M,s07,0004-2787,PVN_AL83_COLD_M_s07_0004-2787,14920,0.2506,2.8016,503.16,59526,1134.8214,0.5808,456,273,273.3422,2.433,0.2912,213.9939,503.16,251.58,2.4013,0.2261,215.1483,19,8,12,16,727,0.154,6,2,0.896,Ramified
1.265738577,0.091941314,1.994509128,PVN,AL83,COLD,M,s07,0005-3893,PVN_AL83_COLD_M_s07_0005-3893,23401,0.2522,1.345,453.8249,92779,1209.9041,0.7964,450,335,286.6551,1.9618,0.2339,204.9133,461.0307,230.5154,1.373,0.1019,211.9653,18,9,9,17,980,0.22,9,0,1.175,Rod-Like
0.233708753,1.224464837,-1.789703672,PVN,AL85,COLD,F,s07,0001-0630,PVN_AL85_COLD_F_s07_0001-0630,16237,0.5689,2.6381,315.7673,28543,737.8902,0.6588,315,128,173.2079,2.9707,0.3802,118.4626,315.7708,157.8854,2.9839,0.3265,121.0518,16,8,8,12,568,0.142,8,0,0.28,Ramified
-0.753129323,-1.102665657,0.620979194,PVN,AL85,COLD,F,s07,0003-0909,PVN_AL85_COLD_F_s07_0003-0909,16224,0.7173,1.0904,196.1632,22619,564.3115,0.8926,171,190,107.4675,1.4503,0.1126,92.0597,196.6259,98.3129,1.3318,0.0607,93.2992,13,6,8,10,438,0.142,6,0,0.346,Ameboid
1.145729628,-0.98400203,-0.664208129,PVN,AL85,COLD,F,s07,0004-1936,PVN_AL85_COLD_F_s07_0004-1936,25654,0.3959,1.3229,363.7485,64799,985.8934,0.8378,327,302,218.0681,1.9037,0.234,159.3725,364.7886,182.3943,2.5705,0.1654,167.8657,48,27,15,51,1210,0.104,27,0,0.46,Ramified
1.256448539,0.006363024,-0.528296637,PVN,AL85,COLD,F,s07,0005-2334,PVN_AL85_COLD_F_s07_0005-2334,21348,0.3193,1.9905,443.2076,66859,1064.0145,0.7421,356,316,242.9868,2.7281,0.2158,190.5717,443.2076,221.6038,2.8366,0.1812,193.5634,28,14,13,27,923,0.134,13,1,0.396,Ramified
-0.30283411,-0.634323525,1.095960726,PVN,AL85,COLD,F,s07,0006-2447,PVN_AL85_COLD_F_s07_0006-2447,23572,0.6998,1.3663,251.1135,33685,694.395,0.8779,239,189,135.5523,1.6746,0.1226,116.0495,251.1135,125.5568,1.331,0.0661,116.3409,12,6,6,8,477,0.16,6,0,0.525,Ameboid
